	chrom_region	start_region	end_region	region_number	chrom_gene	start_gene	end_gene	gene_name	gene_number	distance
0	chr1	1081516	1082016	138	chr1	1081818	1116361	C1orf159	0	302
1	chr1	1082306	1082806	139	chr1	1081818	1116361	C1orf159	0	488
10	chr1	1291762	1292262	214	chr1	1292390	1309609	ACAP3	1	628
11	chr1	1292638	1293138	215	chr1	1292390	1309609	ACAP3	1	248
42	chr1	2183479	2183979	543	chr1	2184461	2212720	FAAP20	3	982
43	chr1	2184026	2184526	544	chr1	2184461	2212720	FAAP20	3	435
71	chr1	3068383	3068883	958	chr1	3069168	3438621	PRDM16	4	785
72	chr1	3068973	3069473	959	chr1	3069168	3438621	PRDM16	4	195
73	chr1	3069529	3070029	960	chr1	3069168	3438621	PRDM16	4	361
378	chr1	6101777	6102277	1990	chr1	6101787	6180321	CHD5	5	10
410	chr1	7771029	7771529	2644	chr1	7771296	7781432	VAMP3	6	267
411	chr1	7771563	7772063	2645	chr1	7771296	7781432	VAMP3	6	267
412	chr1	9728141	9728641	3195	chr1	9729026	9824526	CLSTN1	7	885
445	chr1	11053724	11054224	3670	chr1	11054584	11060020	SRM	9	860
446	chr1	11054598	11055098	3671	chr1	11054584	11060020	SRM	9	14
457	chr1	11478321	11478821	3855	chr1	11479155	11537551	DISP3	11	834
458	chr1	11478904	11479404	3856	chr1	11479155	11537551	DISP3	11	251
459	chr1	11479495	11479995	3857	chr1	11479155	11537551	DISP3	11	340
460	chr1	11480003	11480503	3858	chr1	11479155	11537551	DISP3	11	848
503	chr1	13699460	13699960	4270	chr1	13700198	13825079	PRDM2	12	738
504	chr1	13699983	13700483	4271	chr1	13700198	13825079	PRDM2	12	215
505	chr1	13700611	13701111	4272	chr1	13700198	13825079	PRDM2	12	413
539	chr1	15617083	15617583	4857	chr1	15617458	15669044	DDI2	13	375
540	chr1	15617769	15618269	4858	chr1	15617458	15669044	DDI2	13	311
546	chr1	17406085	17406585	5299	chr1	17406760	17439677	RCC2	14	675
560	chr1	18107130	18107630	5551	chr1	18107798	18378483	IGSF21	15	668
561	chr1	18107931	18108431	5552	chr1	18107798	18378483	IGSF21	15	133
562	chr1	18108467	18108967	5553	chr1	18107798	18378483	IGSF21	15	669
656	chr1	19882105	19882605	6033	chr1	19882395	19912945	OTUD3	16	290
657	chr1	19882651	19883151	6034	chr1	19882395	19912945	OTUD3	16	256
660	chr1	23083925	23084425	6926	chr1	23084023	23177808	LUZP1	17	98
661	chr1	23084644	23085144	6927	chr1	23084023	23177808	LUZP1	17	621
677	chr1	24744967	24745467	7249	chr1	24745382	24844321	CLIC4	18	415
678	chr1	24745724	24746224	7250	chr1	24745382	24844321	CLIC4	18	342
704	chr1	25338101	25338601	7334	chr1	25338317	25362361	TMEM50A	20	216
706	chr1	25338638	25339138	7335	chr1	25338317	25362361	TMEM50A	20	321
709	chr1	27234195	27234695	7884	chr1	27234632	27308636	WDTC1	21	437
710	chr1	27234754	27235254	7885	chr1	27234632	27308636	WDTC1	21	122
711	chr1	27235279	27235779	7886	chr1	27234632	27308636	WDTC1	21	647
725	chr1	27725545	27726045	8081	chr1	27725979	27763122	FAM76A	22	434
726	chr1	27726109	27726609	8082	chr1	27725979	27763122	FAM76A	22	130
728	chr1	28886253	28886753	8262	chr1	28887091	29120046	EPB41	23	838
729	chr1	28886804	28887304	8263	chr1	28887091	29120046	EPB41	23	287
730	chr1	28887355	28887855	8264	chr1	28887091	29120046	EPB41	23	264
756	chr1	30731664	30732164	8620	chr1	30732469	30757774	LAPTM5	24	805
757	chr1	30732897	30733397	8621	chr1	30732469	30757774	LAPTM5	24	428
761	chr1	31727068	31727568	8949	chr1	31727117	31764893	ADGRB2	25	49
799	chr1	32179128	32179628	9131	chr1	32179675	32198285	TXLNA	26	547
800	chr1	32179744	32180244	9132	chr1	32179675	32198285	TXLNA	26	69
818	chr1	32539082	32539582	9227	chr1	32539427	32605941	ZBTB8A	28	345
819	chr1	32539617	32540117	9228	chr1	32539427	32605941	ZBTB8A	28	190
820	chr1	32540295	32540795	9229	chr1	32539427	32605941	ZBTB8A	28	868
824	chr1	33007135	33007635	9356	chr1	33007940	33080996	AK2	29	805
1042	chr1	35807188	35807688	10009	chr1	35808016	35857890	AGO4	31	828
1043	chr1	35807825	35808325	10010	chr1	35808016	35857890	AGO4	31	191
1044	chr1	35808825	35809325	10011	chr1	35808016	35857890	AGO4	31	809
1062	chr1	35930176	35930676	10028	chr1	35930718	36072500	AGO3	33	542
